Plus Kohvik TalTech SOC,Akadeemia tee 3,Plus Kohvikud,08:30,16:00
Plus Kohvik TalTech LIB,Akadeemia tee 1/Ehitajate tee 7,Plus Kohvikud,08:30,16:00
Caffeine,Ehitajate tee 5,Caffeine,08:00,19:00
R-Kiosk- GO pood 24/7,Ehitajate tee 5,R-Kiosk,08:00,16:00
R-Kiosk (U04 korpus),Ehitajate tee 5,R-Kiosk,09:00,16:00
PRÕKS! Coffee shop(Tudengimaja),Ehitajate tee 5,Prõks,09:30,18:00
Helios Söögituba,Mäealuse 2/4,Helios,09:00,17:00
Pannkoogimaja,Akadeemia tee 21,PanCake OÜ,10:00,18:00
Lõunarestoran Mets ICT,Akadeemia tee 15a,Veniete OÜ,08:30,15:00
Lõunarestoran Mets Tehnopolis,Mäealuse 2/1,Veniete OÜ,08:30,15:30
Restoran Nuudel,Akadeemia tee 21-2,Nuudel,11:00,22:00
Pizzakiosk Tehnopol,Akadeemia tee 21/6,Pizzakiosk OÜ,11:00,21:00
Herne Kohvik,Männiliiva tn 7,TTY Spordiklubi,11:00,14:00
IT College kohvik,Raja 4C,Kohvik,11:00,19:00
